cell execution count,time (s)
4,2.496497
6,1.958391
8,1.937107
10,1.931295
12,1.924537
14,1.91105
16,1.954775
18,1.86932
20,1.993363
22,2.014281
24,1.947398
26,1.900712
28,1.929536
30,1.860231
32,1.894951
34,1.87509
36,1.885087
38,1.861199
40,1.954718
42,1.888154
44,1.97824
46,1.956105
48,1.894483
50,2.018464
52,1.993548
54,2.084704
56,2.087244
58,2.054543
60,2.000983
62,1.906569
64,1.868471
66,1.84301
68,1.830947
70,1.871506
72,2.036306
74,1.982642
76,2.088004
78,1.962256
80,2.029929
82,1.968776
84,1.966442
86,2.022052
88,2.074562
90,1.946809
92,1.991302
94,2.047619
96,2.086132
98,2.016288
100,1.923185
102,1.957556
104,2.594303
106,2.23551
108,2.095177
110,2.065839
112,1.986304
114,2.022547
116,2.090824
118,2.042674
120,1.923195
122,1.887178
124,1.965213
126,1.901074
128,1.912612
130,2.038606
132,1.954559
134,1.966211
136,2.116711
138,1.975965
140,1.958867
142,2.151116
144,2.14516
146,2.071382
148,2.057828
150,2.105848
152,1.926546
154,1.894889
156,2.079685
158,1.991036
160,1.980406
162,2.040635
164,1.870444
166,1.898105
168,1.889682
170,1.907087
172,1.897272
174,1.891348
176,2.110335
178,2.134414
180,2.020481
182,1.947086
184,2.00539
186,1.979065
188,2.077896
190,1.945025
192,2.130376
194,2.166697
196,2.269084
198,2.043415
200,2.483112
202,1.972527
204,1.934242
206,1.953949
208,2.050457
210,2.052981
212,2.004708
214,2.018497
216,1.972435
218,2.087781
220,2.165664
222,2.323647
224,2.169944
226,1.994014
228,2.025809
230,2.015324
232,2.012996
234,1.933508
236,1.963699
238,1.978136
240,1.967068
242,1.955969
244,1.978459
246,2.218809
248,1.98755
250,2.001754
252,2.078203
254,1.97854
256,2.049965
258,1.984089
260,2.050924
262,2.026619
264,2.022589
266,2.038383
268,2.207725
270,2.266036
272,2.033375
274,2.074844
276,2.033332
278,2.006781
280,2.018306
282,1.983528
284,2.19422
286,1.986498
288,1.969722
290,2.015808
292,2.023419
294,2.526704
296,2.101389
298,2.307291
300,2.231653
302,2.104036
304,2.145618
306,2.092773
308,1.990626
310,2.107628
312,2.469046
314,2.144953
316,2.395971
318,1.986676
320,2.704193
322,2.362462
324,2.187545
326,2.250322
328,2.089036
330,2.110463
332,2.021486
334,2.117561
336,2.065181
338,2.122244
340,2.077607
342,2.098857
344,2.131945
346,2.425219
348,2.214533
350,1.992242
352,2.151376
354,2.206781
356,2.194097
358,2.196319
360,2.173627
362,2.267301
364,2.046248
366,2.077748
368,2.065015
370,2.107954
372,2.381464
374,2.351186
376,2.003853
378,2.088054
380,2.123507
382,2.265718
384,2.063496
386,2.090152
388,2.092802
390,2.139947
392,2.069236
394,2.072897
396,2.119609
398,2.359771
400,2.098278
402,2.119366
