cell execution count,time (s)
4,9.498966
6,8.029246
8,8.000323
10,8.106479
12,7.98376
14,8.067337
16,8.118649
18,8.25375
20,8.175916
22,8.106171
24,8.135522
26,8.118175
28,8.158789
30,8.146309
32,8.15217
34,8.272316
36,8.185632
38,8.231836
40,8.220814
42,8.195531
44,8.269428
46,8.225507
48,8.427679
50,8.286486
52,8.273532
54,8.373244
56,8.632728
58,8.423276
60,8.390206
62,8.378848
64,8.339578
66,8.361962
68,8.348306
70,8.417162
72,8.460973
74,8.340654
76,8.46194
78,8.408414
80,8.433982
82,8.478864
84,8.443321
86,8.423987
88,8.493831
90,8.449874
92,8.51358
94,8.571433
96,8.469548
98,8.493909
100,8.459658
102,8.524445
104,8.503129
106,8.492562
108,8.496524
110,8.462391
112,8.508155
114,8.556401
116,8.498697
118,8.443224
120,8.542887
122,8.427951
124,8.424227
126,8.436254
128,8.461474
130,8.472226
132,8.582273
134,8.756565
136,8.466726
138,8.453277
140,8.482341
142,8.615759
144,8.502251
146,8.505579
148,8.638205
150,8.477735
152,8.408346
154,8.719069
156,8.498732
158,8.619641
160,8.597137
162,8.697856
164,8.608074
166,8.647845
168,8.667356
170,8.661491
172,8.631369
174,8.669044
176,8.804542
178,8.826243
180,8.708766
182,8.689392
184,8.678374
186,8.671252
188,8.668573
190,8.674645
192,8.676832
194,8.670984
196,8.849752
198,8.662749
200,8.810261
202,8.642535
204,8.677577
206,8.772183
208,8.66899
210,8.641506
212,8.806711
214,8.669321
216,8.688704
218,8.649646
220,8.988691
222,8.685229
224,8.638891
226,8.665562
228,8.69953
230,8.691041
232,8.886995
234,8.6834
236,8.682679
238,8.677995
240,8.656887
242,9.043081
244,8.730399
246,8.906167
248,8.827113
250,8.736767
252,8.720426
254,8.759678
256,9.2903
258,8.68929
260,8.638366
262,8.672942
264,8.862086
266,9.107129
268,8.705676
270,8.596389
272,8.618998
274,8.787855
276,8.496103
278,8.527122
280,8.636626
282,8.571074
284,8.714126
286,8.552032
288,8.568547
290,8.809304
292,8.51591
294,8.931204
296,8.84445
298,8.97821
300,9.323808
302,9.07206
304,8.797539
306,8.812641
308,8.697052
310,8.728181
312,8.74448
314,8.750275
316,9.153137
318,8.585844
320,8.794889
322,8.601636
324,9.371578
326,8.947647
328,9.126496
330,9.60622
332,9.44131
334,9.660738
336,8.99293
338,9.237528
340,9.069761
342,8.630196
344,8.872792
346,8.586655
348,8.745212
350,8.556849
352,8.544679
354,8.598087
356,8.548202
358,8.584736
360,8.504818
362,8.50473
364,8.512118
366,8.754638
368,8.690505
370,8.48344
372,8.567053
374,8.459085
376,8.480558
378,8.572789
380,8.4008
382,8.529818
384,8.355732
386,8.715113
388,8.384262
390,8.293253
392,8.665504
394,8.346367
396,8.536435
398,8.3106
400,8.36144
402,8.343902
