cell execution count,time (s)
6,8.636191
8,7.977377
10,8.375655
12,8.022461
14,8.018118
16,7.968266
18,7.849978
20,7.925057
22,7.878438
24,7.831571
26,7.949938
28,8.100456
30,8.0813
32,8.210961
34,8.092891
36,8.372662
38,8.44472
40,7.926778
42,7.849311
44,7.83846
46,7.784611
48,7.837383
50,7.828944
52,7.765624
54,7.805408
56,7.893216
58,8.346271
60,7.971356
62,7.864732
64,7.543115
66,7.756195
68,7.773404
70,7.730868
72,7.672262
74,7.701585
76,8.099708
78,7.629515
80,7.544572
82,7.589621
84,7.464089
86,7.565007
88,7.606516
90,7.545403
92,7.658521
94,8.075407
96,8.260706
98,7.87697
100,7.833689
102,7.786022
104,7.736911
106,8.252948
108,7.82835
110,7.702457
112,7.560087
114,7.948045
116,7.626511
118,7.905345
120,8.281225
122,7.892593
124,7.925431
126,7.824425
128,7.921064
130,7.89602
132,8.188007
134,8.096225
136,8.097284
138,8.069063
140,8.468536
142,8.007078
144,8.036773
146,8.267197
148,8.678102
150,7.766823
152,7.759335
154,7.992246
156,7.908953
158,8.247898
160,8.118961
162,7.427446
164,7.311629
166,7.394272
168,7.302534
170,7.30646
172,7.274813
174,7.280314
176,7.241872
178,7.235152
180,7.325844
182,7.922174
184,7.549962
186,7.177748
188,7.193567
190,7.234748
192,7.287966
194,7.290345
196,7.293085
198,7.24391
200,7.341317
202,8.486406
204,7.794515
206,7.560953
208,7.798094
210,7.380417
212,7.299169
214,7.292447
216,7.350348
218,7.354561
220,7.85118
222,7.674599
224,7.426151
226,7.430262
228,7.503541
230,7.666424
232,7.521107
234,7.550096
236,7.504802
238,7.902582
240,7.928276
242,7.78423
244,7.826393
246,7.921065
248,7.859302
250,7.844837
252,7.94683
254,7.78334
256,7.814224
258,8.063466
260,7.796427
262,8.011026
264,7.793147
266,7.812326
268,7.788977
270,7.803173
272,7.91877
274,7.809111
276,7.814493
278,8.107428
280,7.80772
282,8.019784
284,7.805763
286,7.799409
288,7.795895
290,7.816684
292,7.816626
294,7.821467
296,7.786875
298,7.874392
300,8.099689
302,7.818354
304,7.797761
306,7.864405
308,8.081497
310,7.813655
312,8.047788
314,7.855724
316,7.841836
318,7.787933
320,8.082859
322,7.817236
324,7.850819
326,8.05509
328,7.866564
330,7.838584
332,7.836032
334,7.84786
336,7.808512
338,7.838128
340,7.898305
342,8.146349
344,7.877996
346,7.861661
348,7.860088
350,7.867873
352,7.863478
354,7.845026
356,7.887183
358,7.84553
360,8.122673
362,7.89395
364,8.460745
366,7.899227
368,8.143289
370,7.850251
372,7.86371
374,7.848006
376,7.852424
378,7.483278
380,184.971761
382,8.420595
384,7.751998
386,8.095309
388,7.720981
390,7.402307
392,7.428223
394,7.474505
396,7.490576
398,7.438979
400,7.450958
402,7.458615
404,7.462172
