cell execution count,time (s)
6,7.680321
8,7.139261
10,7.131611
12,7.150505
14,7.193047
16,7.119027
18,7.136232
20,7.156174
22,7.171972
24,7.136654
26,7.149233
28,7.131112
30,7.122602
32,7.123139
34,7.181115
36,7.119565
38,7.141821
40,7.10327
42,7.129289
44,7.155626
46,7.102083
48,7.106303
50,7.171782
52,7.190641
54,7.093056
56,7.120046
58,7.15517
60,7.165357
62,7.109899
64,7.201035
66,7.143566
68,7.118515
70,7.109486
72,7.125188
74,7.139283
76,7.127108
78,7.11783
80,7.21148
82,7.152084
84,7.146813
86,7.198964
88,7.138687
90,7.212786
92,7.149576
94,7.1482
96,7.217181
98,7.167552
100,7.12591
102,7.139854
104,7.111981
106,7.150587
108,7.139129
110,7.113193
112,7.262291
114,7.164724
116,7.19193
118,7.40252
120,7.210645
122,7.755777
124,7.281042
126,7.461337
128,7.230337
130,7.449957
132,7.224296
134,7.549435
136,7.300229
138,7.252323
140,7.204222
142,7.167448
144,7.24274
146,7.322261
148,7.166381
150,7.184414
152,7.233258
154,7.218994
156,7.159333
158,7.20051
160,7.168925
162,7.537838
164,7.3132
166,7.159423
168,7.239783
170,7.17927
172,7.314017
174,7.256522
176,7.242874
178,7.152975
180,7.180565
182,7.430097
184,7.205541
186,7.181735
188,7.181909
190,7.181648
192,7.220841
194,7.169293
196,7.174682
198,7.445173
200,7.679303
202,7.140628
204,7.190908
206,7.266206
208,7.546962
210,7.526413
212,7.518918
214,7.353715
216,7.203592
218,7.388541
220,7.255654
222,7.253565
224,7.220961
226,7.259583
228,7.298406
230,7.451755
232,7.220016
234,7.26293
236,7.234985
238,7.482935
240,7.27242
242,7.377305
244,7.344121
246,7.230198
248,7.280301
250,7.2672
252,7.298753
254,7.245317
256,7.513429
258,7.297421
260,7.266674
262,7.282511
264,7.413541
266,7.289585
268,7.282237
270,7.276566
272,7.334831
274,7.293614
276,7.506974
278,7.504338
280,7.302604
282,7.362736
284,7.29146
286,7.262879
288,7.259421
290,7.282592
292,7.273
294,7.25805
296,7.522877
298,7.601076
300,7.402302
302,7.346831
304,7.332106
306,7.338335
308,7.458344
310,7.663899
312,7.66523
314,7.270703
316,7.578126
318,7.536368
320,7.27402
322,7.330099
324,7.240881
326,7.301946
328,7.479631
330,7.274784
332,7.308866
334,7.307469
336,7.310182
338,7.873132
340,7.336548
342,7.342996
344,7.312196
346,7.2892
348,7.315686
350,7.36488
352,7.574407
354,7.517828
356,7.374999
358,7.312658
360,7.675173
362,7.396477
364,7.313916
366,7.356484
368,7.363439
370,7.370547
372,7.352767
374,7.34854
376,7.395962
378,7.385563
380,7.549907
382,7.670653
384,7.430514
386,7.377092
388,7.351285
390,7.387888
392,7.355474
394,7.369432
396,7.379879
398,7.609982
400,7.337518
402,7.373894
404,7.80494
