cell execution count,time (s)
6,11.435862
8,10.78383
10,10.444157
12,10.482405
14,10.331067
16,10.402745
18,10.673661
20,10.092794
22,10.500294
24,10.389952
26,10.57515
28,10.605851
30,10.54985
32,10.219193
34,10.344115
36,10.163443
38,9.800828
40,10.311881
42,9.637269
44,9.532707
46,9.503589
48,9.428012
50,9.963627
52,9.94158
54,10.011463
56,10.030837
58,9.975956
60,9.825822
62,10.066027
64,9.561574
66,9.514714
68,9.544778
70,9.455425
72,9.309995
74,9.451476
76,9.355939
78,9.326312
80,9.64154
82,9.440961
84,9.363094
86,9.348195
88,9.338587
90,9.350307
92,9.277776
94,9.453381
96,10.453355
98,10.153923
100,9.882907
102,10.298927
104,9.378837
106,9.358868
108,9.296412
110,9.367296
112,10.100633
114,10.198709
116,9.986499
118,9.945988
120,10.681686
122,10.5659
124,10.257848
126,10.388456
128,10.33975
130,10.628314
132,10.133157
134,10.520558
136,10.467682
138,10.399685
140,10.765511
142,10.360366
144,10.440844
146,10.50734
148,10.632751
150,10.303111
152,10.54272
154,10.207305
156,10.262671
158,10.470371
160,10.05932
162,10.298137
164,10.57799
166,10.620227
168,10.616513
170,10.205618
172,9.790848
174,9.744625
176,10.250527
178,9.847518
180,9.552826
182,9.594526
184,9.749856
186,9.518139
188,9.617354
190,9.569685
192,9.370706
194,9.558488
196,9.426614
198,9.367615
200,10.257514
202,11.05453
204,10.30346
206,9.878626
208,9.772874
210,9.792869
212,9.579735
214,9.597641
216,10.353344
218,10.201712
220,9.979914
222,9.797775
224,10.298165
226,10.257676
228,10.441244
230,10.165204
232,10.054597
234,10.39446
236,10.41634
238,10.297028
240,10.846678
242,10.109225
244,10.178805
246,9.843816
248,9.947785
250,10.389019
252,10.318956
254,10.415349
256,10.274493
258,10.633144
260,10.268436
262,10.67809
264,10.165867
266,10.207345
268,10.312951
270,10.570631
272,9.973241
274,9.856078
276,10.073051
278,10.240147
280,9.665026
282,9.496024
284,9.554293
286,9.587457
288,9.686696
290,9.838322
292,9.832812
294,10.10921
296,9.853081
298,10.432422
300,9.663821
302,9.896204
304,10.215864
306,10.13705
308,10.353484
310,10.109365
312,10.330415
314,10.404959
316,10.441801
318,10.503971
320,10.79769
322,10.629074
324,10.461926
326,10.645147
328,10.410863
330,10.071561
332,10.371508
334,10.363578
336,10.048274
338,10.091078
340,10.717521
342,10.187084
344,10.397977
346,10.269313
348,10.17029
350,10.619297
352,10.429332
354,10.229124
356,10.1257
358,10.109941
360,10.149198
362,11.032187
364,10.863248
366,10.538351
368,10.128254
370,10.731266
372,10.571473
374,10.540818
376,10.38702
378,10.676885
380,10.469522
382,10.782715
384,11.322045
386,10.972123
388,12.017364
390,10.975309
392,10.502021
394,10.559081
396,10.427075
398,10.998454
400,10.423909
402,10.81562
404,10.931619
